"genre","price_range","mean_price","median_price","sd_price"
"Accounting","[0, 79.99]",20.8266666666667,12.49,30.0665932002059
"Action","[0, 624.74]",12.0934263400781,4.99,41.7361569652516
"Adventure","[0, 624.74]",18.5723513043478,4.99,66.7160137826326
"Animation & Modeling","[0, 995]",51.551380952381,19.99,101.542679515343
"Audio Production","[0, 528.99]",66.2885567010309,19.99,118.338384701366
"Casual","[0, 624.74]",11.956859074363,2.99,47.6727082785609
"Design & Illustration","[0, 199]",18.4814159292035,12.99,22.4401855096362
"Early Access","[0, 16.99]",8.392,9.99,6.34492080328825
"Education","[0, 149.99]",14.8905128205128,7.99,23.3460223758258
"Free to Play","[0, 499.99]",11.5172007722008,0,33.360455691552
"Game Development","[0, 0]",0,0,NA
"Gore","[9.97, 9.97]",9.97,9.97,NA
"HTC","[499, 499]",499,499,NA
"Indie","[0, 501.87]",14.2778164302917,5.99,46.0832358265534
"Massively Multiplayer","[0, 39.99]",10.9067857142857,5.29,13.3055638748027
"Nudity","[1.98, 1.98]",1.98,1.98,0
"Photo Editing","[0, 169.98]",40.49,24.99,56.4378295117734
"RPG","[0, 151.89]",13.2455357142857,5.99,20.7394123282908
"Racing","[0, 88.94]",10.8630361445783,4.99,14.1256323850109
"Sexual Content","[1.98, 1.98]",1.98,1.98,NA
"Simulation","[0, 595.99]",16.2568267674042,11.99,22.0529283885
"Software Training","[0, 19.99]",12.2415,14.99,5.95162629256204
"Sports","[0, 59.99]",15.6172,9.99,15.0055381271878
"Strategy","[0, 139.99]",11.1703917727718,6.99,14.2793951594902
"Utilities","[0, 79.99]",10.3682993197279,4.49,15.1832405521094
"Valve","[12.99, 499]",187.326666666667,49.99,270.550272654332
"Video Production","[0, 598]",91.2069565217391,54.99,131.003958837988
"Violent","[19.99, 64.89]",41.115,33.98,18.8284547958668
"Web Publishing","[4.99, 74.99]",21.7328571428571,19.99,13.9058660012132
NA,"[0, 999]",13.3070028818444,3.99,73.1247927022999
